地名,エリア,地名,エリア,燃えるごみ,燃えないごみ,プラ容器,空ビン,ペットボトル、蛍光管,白色トレー、アルミ、危険ごみ,新聞紙、雑誌・雑紙、牛乳パック,ダンボール、古着類
有間野,A,有間野,A,火 金,20160328 20160404 20160418 20160509 20160523 20160606 20160620 20160704 20160725 20160801 20160815 20160905 20160926 20161003 20161024 20161107 20161121 20161205 20161219 20170116 20170130 20170206 20170220 20170306 20170327,水,20160411 20160516 20160613 20160711 20160808 20160912 20161017 20161114 20161212 20170123 20170213 20170313,20160407 20160512 20160602 20160707 20160804 20160901 20161006 20161110 20161201 20170105 20170202 20170302,20160414 20160519 20160609 20160714 20160818 20160908 20161013 20161117 20161208 20170112 20170209 20170309,20160421 20160526 20160616 20160721 20160825 20160915 20161020 20161124 20161215 20170119 20170216 20170316,20160324 20160428 20160530 20160623 20160728 20160829 20160929 20161027 20161128 20161222 20170126 20170223 20170323
川俣,B,川俣,B,月 木,20160406 20160420 20160511 20160525 20160608 20160622 20160706 20160720 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315,火,20160413 20160518 20160615 20160713 20160817 20160914 20161012 20161109 20161214 20170111 20170208 20170308,金1,金2,金3,20160325 20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161228 20170127 20170224 20170324
粥見,A,粥見,A,火 金,20160328 20160404 20160418 20160509 20160523 20160606 20160620 20160704 20160725 20160801 20160815 20160905 20160926 20161003 20161024 20161107 20161121 20161205 20161219 20170116 20170130 20170206 20170220 20170306 20170327,水,20160411 20160516 20160613 20160711 20160808 20160912 20161017 20161114 20161212 20170123 20170213 20170313,20160407 20160512 20160602 20160707 20160804 20160901 20161006 20161110 20161201 20170105 20170202 20170302,20160414 20160519 20160609 20160714 20160818 20160908 20161013 20161117 20161208 20170112 20170209 20170309,20160421 20160526 20160616 20160721 20160825 20160915 20161020 20161124 20161215 20170119 20170216 20170316,20160324 20160428 20160530 20160623 20160728 20160829 20160929 20161027 20161128 20161222 20170126 20170223 20170323
仁柿,B,仁柿,B,月 木,20160406 20160420 20160511 20160525 20160608 20160622 20160706 20160720 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315,火,20160413 20160518 20160615 20160713 20160817 20160914 20161012 20161109 20161214 20170111 20170208 20170308,金1,金2,金3,20160325 20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161228 20170127 20170224 20170324
波瀬,B,波瀬,B,月 木,20160406 20160420 20160511 20160525 20160608 20160622 20160706 20160720 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315,火,20160413 20160518 20160615 20160713 20160817 20160914 20161012 20161109 20161214 20170111 20170208 20170308,金1,金2,金3,20160325 20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161228 20170127 20170224 20170324
深野,B,深野,B,月 木,20160406 20160420 20160511 20160525 20160608 20160622 20160706 20160720 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315,火,20160413 20160518 20160615 20160713 20160817 20160914 20161012 20161109 20161214 20170111 20170208 20170308,金1,金2,金3,20160325 20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161228 20170127 20170224 20170324
宮前,A,宮前,A,火 金,20160328 20160404 20160418 20160509 20160523 20160606 20160620 20160704 20160725 20160801 20160815 20160905 20160926 20161003 20161024 20161107 20161121 20161205 20161219 20170116 20170130 20170206 20170220 20170306 20170327,水,20160411 20160516 20160613 20160711 20160808 20160912 20161017 20161114 20161212 20170123 20170213 20170313,20160407 20160512 20160602 20160707 20160804 20160901 20161006 20161110 20161201 20170105 20170202 20170302,20160414 20160519 20160609 20160714 20160818 20160908 20161013 20161117 20161208 20170112 20170209 20170309,20160421 20160526 20160616 20160721 20160825 20160915 20161020 20161124 20161215 20170119 20170216 20170316,20160324 20160428 20160530 20160623 20160728 20160829 20160929 20161027 20161128 20161222 20170126 20170223 20170323
向粥見,A,向粥見,A,火 金,20160328 20160404 20160418 20160509 20160523 20160606 20160620 20160704 20160725 20160801 20160815 20160905 20160926 20161003 20161024 20161107 20161121 20161205 20161219 20170116 20170130 20170206 20170220 20170306 20170327,水,20160411 20160516 20160613 20160711 20160808 20160912 20161017 20161114 20161212 20170123 20170213 20170313,20160407 20160512 20160602 20160707 20160804 20160901 20161006 20161110 20161201 20170105 20170202 20170302,20160414 20160519 20160609 20160714 20160818 20160908 20161013 20161117 20161208 20170112 20170209 20170309,20160421 20160526 20160616 20160721 20160825 20160915 20161020 20161124 20161215 20170119 20170216 20170316,20160324 20160428 20160530 20160623 20160728 20160829 20160929 20161027 20161128 20161222 20170126 20170223 20170323
森,B,森,B,月 木,20160406 20160420 20160511 20160525 20160608 20160622 20160706 20160720 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315,火,20160413 20160518 20160615 20160713 20160817 20160914 20161012 20161109 20161214 20170111 20170208 20170308,金1,金2,金3,20160325 20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161228 20170127 20170224 20170324
横野,B,横野,B,月 木,20160406 20160420 20160511 20160525 20160608 20160622 20160706 20160720 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161207 20161221 20170104 20170118 20170201 20170215 20170301 20170315,火,20160413 20160518 20160615 20160713 20160817 20160914 20161012 20161109 20161214 20170111 20170208 20170308,金1,金2,金3,20160325 20160422 20160527 20160624 20160722 20160826 20160923 20161028 20161125 20161228 20170127 20170224 20170324
